officegoods_customer_id,bureau_customer_id,consolidated_customer_id,customer_name
A56613925,c3bd1328-d18b-4b5a-8545-df261586ea8e,6bf2afa9-1cda-484f-8dc8-48322f3e1d1c,"Watsica, Turner and Toy"
A2961593,1787b60b-06c8-4d33-934b-85ca1ba46b80,cb4f9dcc-b1fa-46d7-9c3d-b072d325554c,Doyle - Langworth
A2890159,27564272-14f6-4456-9e26-0f24fa7aa627,eabbfb77-391b-4a66-94cf-fb1d70bdc693,Hessel - Muller
A413231,73e4c1b7-b550-4ca2-9f22-c53980f1a724,94dfd2c0-8f92-4bb2-a97b-da87531706b4,Boyer LLC
A56615245,,62497fd6-14bb-4a67-abb5-2cd920b19fd1,Runte - Hintz
A50578578,b64c4720-6109-4047-8c2a-d72190aab7ca,90cef63e-0741-4953-a390-8ec1dd54ab1c,Fahey and Sons
A3792785,ee040e9f-3f65-4065-9277-35d00b26df85,07c73394-30e8-4c03-a0f4-c981a2df2ebb,"Hessel, Conroy and Reilly"
A55065458,231427fc-62a0-4fb2-b675-0656c60badff,3dba68cb-2fd6-4aa4-a9ce-17908d898344,"Langosh, Wilderman and Hoppe"
A71550467,0ce1ff8d-9610-4ccf-b6bf-72fb88baefe2,9ca5e6c1-dd6b-4bf9-964b-d6808256af86,Keeling - Kuhn
A18788900,,c0beca06-ea1a-41c7-82dd-0566780cc668,Sporer - Terry
A30986622,4293c972-2f51-4f5f-ae1c-ffda521970bc,3c474b5a-e256-4f65-a2f0-302e3a00e48c,Schamberger - Medhurst
A7703011,6e336da9-7e95-42dc-b761-9004d56640e3,cc52d503-9fd2-448f-b5e4-a4a72de27971,Romaguera Inc
A86993846,fd5a7d6b-5bab-4bb3-a293-7e6a59102759,f9d48f25-46b6-4c8f-bc0a-062db191575a,Buckridge Inc
A98191622,5edd5d4a-52fb-46c6-9981-0f19ba30a663,c3446c26-832c-4d3e-bd89-046bd43e4aa4,"Dare, Dare and Smith"
A59877673,e3c8cfbf-6104-44ee-b177-8a531f25f6c3,9c5e0213-1b3f-43d7-9e73-cedb1b38b243,"Purdy, Jakubowski and Schaden"
A56421451,,b9ea9f89-1985-44db-905a-266ce3bd0303,Gottlieb - Auer
A206721,208184c5-d8a4-4b7b-9de8-e07a7e46517a,9079871a-e79f-49df-a6ec-d01be1b2464b,Howe Group
A88692123,185bc542-47d7-4a00-9bbe-553550d41eb9,ca79e915-18af-43da-824f-b1284ceb2569,Kris - Jakubowski
A79212109,3e302d6f-b9d9-4fef-be71-c56bc770eb32,19adcf8f-4f35-48a9-b9d8-3ea9f5f4cac5,Zboncak Inc
A91395297,36858754-0c52-4e07-855d-cd598cf0f060,0517332c-697c-47f3-aa52-3770c851067f,Kertzmann - Greenfelder
A98245419,2bd443e2-2f10-47c2-bbf8-8c492c962d29,beb5deb3-f9e6-4610-8e75-8891f8feda80,Kautzer - Kertzmann
A75415231,c40ba702-351e-41be-b07b-d2602be3a643,ca94b28a-1393-42d8-a3ad-95867da620eb,"Heaney, Mills and Mayer"
A94201908,b1bca471-89c9-4b45-a559-896032a846d2,bbfb5080-fa1a-433f-b5e4-abbf0ba7b23f,Marquardt - Bailey
A60051695,aee02ced-9d50-4a08-81eb-69bbfbf0a3a7,6fd6e8ab-3b15-4970-98af-48ac993c1a4b,"Bartell, Farrell and Breitenberg"
,cd908d2a-54de-4f64-aa93-b785cdbfffe1,2fea7bde-a2d9-4b17-bd19-ff9db8ac4214,"Thiel, Lindgren and Heaney"
,e82fc04c-a3fe-4f23-9352-7104ed48e194,abb464b4-5b6e-47e6-8686-11752481d6fa,"Brekke, Hahn and Stroman"
A16929361,755b4e9f-a377-4f06-916a-cb022ff428a1,c412823e-a899-4a2a-8f27-33ee68a29980,Hegmann and Sons
A50201061,e6ffb71d-324c-4982-8d17-5eb578c75ed0,8c2b3cbd-c578-44d0-a04e-e90681738cd7,"Corkery, Cummings and McCullough"
A70646199,39defc1b-a98e-421b-a221-27219ff6b3e5,891dffa3-3e6b-4ad5-b5b5-1ba037d988d2,Dibbert Inc
A41637514,44fe3e28-105a-4827-9860-945e3cbe0876,b38352f4-2e78-4530-a94f-810dccb0a762,"King, Feeney and Kutch"
A67649814,a59f5bcd-be89-43b6-89cb-f4dd46b4abc4,5f5a9fd4-3445-491c-8a3d-d422d5433a84,Effertz LLC
A3233942,9dc28345-fb9b-4f5c-a472-408efd211552,7daf8076-631c-4d25-ba8d-8d7047c584ad,Abbott - Ward
A51330122,c4852616-9d65-44a8-87fa-107ae0d99a67,672d3a1d-d7c2-4fca-bf22-80b9795718d3,"Haley, Hackett and Torp"
A43662951,9de9eac7-04d9-4b83-980d-0a2791eec81a,2e0ef232-415c-4a46-8ea6-65c4f9392982,Mueller Inc
A71058781,7b2c8768-316b-4711-9227-72945c1e5ff1,bab3e85f-ef73-47ff-8175-7e84914a306c,Hills and Sons
A46828545,624d3424-976a-47a7-8145-78167349dfcf,942bef52-5a85-4110-b887-1b98b33043f7,Feil Group
,5440635f-4d7b-422d-8471-d94589574154,f092de1a-abac-47a5-b5d8-e35cc912dcdb,"Marquardt, Koepp and Mante"
A76140324,3f4ddaf7-23d5-4ab9-b0b0-88cab4246f79,979d8626-cced-4b92-929e-ab11025e5df7,"Mann, Walter and Orn"
A1290013,,f84a6461-3112-4286-b0dd-8f439c13520e,Sauer - Fahey
A69411048,4feace69-bbd0-45be-b40b-a8b6da017d52,33963d2c-5f09-44d1-a6a6-70de26ea86f8,"Renner, Hammes and Corwin"
A8092484,9d28f398-812a-4b0c-a147-47b03243e149,4e794a0f-a364-4b34-bd57-9faf88356793,Goyette - Greenfelder
A9477859,,afbebbc1-77e2-488f-81cb-3d951e209cce,"Barrows, Schimmel and Thiel"
A69713613,7079714b-f17f-4f9b-8cc5-a27e2cfd48df,791f3bca-51b7-4041-b3cd-44cc30bd08b6,Hansen - Hermann
A2134637,16ed53f8-4e5c-4c53-93ec-5ca019e7d146,4af8e2f4-453c-4daf-a8db-8815e3a37111,Wolff Group
A57952393,40f00beb-ba3e-42de-9fb8-efc6d7715a8d,b9ff054a-c42f-4a39-88c0-4a17d6a3e2eb,Kirlin - Ledner
